at,minutesAfterOpen,id,org,title,enrolled,capacity,waitEnrolled,waitCapacity,openAt
2026-09-09 10:00:01,60,gsei-1467,경상북도교육청과학원,2026 가족천체관측교실 4회,4,6,0,2,2026-09-09 09:00
2026-09-09 10:30:00,90,gsei-1467,경상북도교육청과학원,2026 가족천체관측교실 4회,5,6,0,2,2026-09-09 09:00
2026-09-09 11:00:00,120,gsei-1467,경상북도교육청과학원,2026 가족천체관측교실 4회,6,6,2,2,2026-09-09 09:00
2026-09-11 09:59:00,-1,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),0,10,0,3,2026-09-11 10:00
2026-09-11 10:00:01,0,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),0,10,0,3,2026-09-11 10:00
2026-09-11 10:00:30,0.5,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:01:00,1,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:02:00,2,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:03:00,3,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:05:00,5,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:08:00,8,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:12:00,12,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:20:00,20,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),2,10,0,3,2026-09-11 10:00
2026-09-11 10:30:00,30,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),3,10,0,3,2026-09-11 10:00
2026-09-11 10:45:01,45,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),3,10,0,3,2026-09-11 10:00
2026-09-11 11:00:00,60,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),3,10,0,3,2026-09-11 10:00
2026-09-11 11:30:00,90,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),4,10,0,3,2026-09-11 10:00
2026-09-11 12:00:01,120,phlib-3551,포은흥해도서관,[독서의달]-북 퍼퓸 만들기(일반),4,10,0,3,2026-09-11 10:00
2026-09-11 09:59:00,-1,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,0,7,0,3,2026-09-11 10:00
2026-09-11 10:00:01,0,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,0,7,0,3,2026-09-11 10:00
2026-09-11 10:00:30,0.5,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:01:00,1,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:02:00,2,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:03:00,3,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:05:00,5,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:08:00,8,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:12:00,12,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:20:00,20,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:30:00,30,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 10:45:01,45,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 11:00:00,60,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 11:30:00,90,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
2026-09-11 12:00:01,120,phlib-3577,환여 해맞이꿈터작은도서관,조물조물 그림책 공예,7,7,3,3,2026-09-11 10:00
